state,name,party,votes,percentage
alabama,Donald J. Trump,Republican,"1,441,170",62.2%
alabama,Joe Biden,Democratic,"849,378",36.7%
alabama,Jo Jorgensen,Libertarian,"25,176",1.1%
alaska,Donald J. Trump,Republican,"189,543",53.1%
alaska,Joe Biden,Democratic,"153,502",43.0%
alaska,Jo Jorgensen,Libertarian,"8,877",2.5%
alaska,Jesse  Ventura,Green,"2,664",0.7%
alaska,Don Blankenship,Constitution,"1,120",0.3%
alaska,Brock Pierce,Independent,822,0.2%
alaska,Roque De La Fuente,Independent,317,0.1%
arizona,Joe Biden,Democratic,"1,672,143",49.4%
arizona,Donald J. Trump,Republican,"1,661,686",49.1%
arizona,Jo Jorgensen,Libertarian,"51,465",1.5%
arkansas,Donald J. Trump,Republican,"759,749",62.4%
arkansas,Joe Biden,Democratic,"423,518",34.8%
arkansas,Jo Jorgensen,Libertarian,"13,132",1.1%
arkansas,Kanye West,Independent,"4,096",0.3%
arkansas,Howie Hawkins,Green,"2,957",0.2%
arkansas,Phil Collins,Independent,"2,800",0.2%
arkansas,Brock Pierce,Independent,"2,141",0.2%
arkansas,Don Blankenship,Constitution,"2,078",0.2%
arkansas,Brian Carroll,American Solidarity,"1,711",0.1%
arkansas,Connie Gammon,Independent,"1,475",0.1%
arkansas,J.R.  Myers,Independent,"1,366",0.1%
arkansas,Gloria La Riva,Socialist,"1,334",0.1%
arkansas,Roque De La Fuente,Independent,"1,321",0.1%
california,Joe Biden,Democratic,"11,109,764",63.5%
california,Donald J. Trump,Republican,"6,005,961",34.3%
california,Jo Jorgensen,Libertarian,"187,885",1.1%
california,Howie Hawkins,Green,"81,025",0.5%
california,Roque De La Fuente,Independent,"60,156",0.3%
california,Gloria La Riva,Peace & Freedom,"51,036",0.3%
colorado,Joe Biden,Democratic,"1,804,418",55.4%
colorado,Donald J. Trump,Republican,"1,364,640",41.9%
colorado,Jo Jorgensen,Libertarian,"52,461",1.6%
colorado,Howie Hawkins,Green,"8,986",0.3%
colorado,Kanye West,Independent,"8,089",0.2%
colorado,Don Blankenship,Constitution,"5,061",0.2%
colorado,Bill  Hammons,Independent,"2,730",0.1%
colorado,Brian Carroll,American Solidarity,"2,515",0.1%
colorado,Mark Charles,Independent,"2,011",0.1%
colorado,Gloria La Riva,Socialist,"1,035",0.0%
colorado,Kyle Kopitke,Independent,762,0.0%
colorado,Roque De La Fuente,Independent,637,0.0%
colorado,Joe McHugh,Independent,614,0.0%
colorado,Brock Pierce,Independent,572,0.0%
colorado,Phil Collins,Independent,568,0.0%
colorado,Princess Jacob-Fambro,Independent,495,0.0%
colorado,Dario Hunter,Progressive,379,0.0%
colorado,Blake Huber,Independent,355,0.0%
colorado,Alyson Kennedy,Independent,354,0.0%
colorado,Joseph Kishore,Socialist Equality Party,196,0.0%
colorado,Jordan Scott,Independent,175,0.0%
connecticut,Joe Biden,Democratic,"1,080,680",59.3%
connecticut,Donald J. Trump,Republican,"715,291",39.2%
connecticut,Jo Jorgensen,Libertarian,"20,227",1.1%
connecticut,Howie Hawkins,Green,"7,538",0.4%
delaware,Joe Biden,Democratic,"296,268",58.8%
delaware,Donald J. Trump,Republican,"200,603",39.8%
delaware,Jo Jorgensen,Libertarian,"5,000",1.0%
delaware,Howie Hawkins,Green,"2,139",0.4%
district-of-columbia,Joe Biden,Democratic,"307,265",92.9%
district-of-columbia,Donald J. Trump,Republican,"18,172",5.5%
district-of-columbia,Jo Jorgensen,Libertarian,"1,977",0.6%
district-of-columbia,Howie Hawkins,Green,"1,667",0.5%
district-of-columbia,Gloria La Riva,Socialist,839,0.3%
district-of-columbia,Brock Pierce,Independent,679,0.2%
florida,Donald J. Trump,Republican,"5,668,731",51.2%
florida,Joe Biden,Democratic,"5,297,045",47.9%
florida,Jo Jorgensen,Libertarian,"70,324",0.6%
florida,Howie Hawkins,Green,"14,721",0.1%
florida,Roque De La Fuente,Independent,"5,966",0.1%
florida,Gloria La Riva,Socialist,"5,712",0.1%
florida,Don Blankenship,Constitution,"3,902",0.0%
georgia,Joe Biden,Democratic,"2,474,601",49.5%
georgia,Donald J. Trump,Republican,"2,461,965",49.3%
georgia,Jo Jorgensen,Libertarian,"62,141",1.2%
hawaii,Joe Biden,Democratic,"366,130",63.7%
hawaii,Donald J. Trump,Republican,"196,864",34.3%
